id,keyword,search_intent,priority,status,article_url,published_at,notes
1,クラフトコーラ 自宅,how-to,high,pending,,,自宅でクラフトコーラを楽しむ夜時間 [failed 2026-04-27]
2,クラフトコーラ おすすめ,comparison,high,pending,,,比較ではなくライフスタイル文脈で
3,夜 リラックス 飲み物,problem-solving,high,pending,,,カフェイン控えめ訴求
4,コーラ シロップ 使い方,how-to,medium,pending,,,炭酸水・牛乳・カクテル割り
5,スパイス 効能,informational,medium,pending,,,薬機法注意・効能断定NG
6,ノンアルコール 大人,lifestyle,high,pending,,,平日夜の過ごし方
7,サウナ 後 飲み物,how-to,medium,pending,,,ととのう文脈と接続
8,クラフトコーラ レシピ,how-to,medium,pending,,,自家製ではなくシロップ活用
9,夏 ドリンク レシピ,seasonal,medium,pending,,,夏のアレンジ提案
10,ギフト ドリンク 大人,gift,medium,pending,,,贈答シーン提案
